Lacertosus;No;No;Italy;Ecommerce;479.2;79.6;13727427;2369943;22;13;2010
Leogra Trading;Yes;No;Germany;Ecommerce;450.7;76.6;9404801;1707678;12;5;2014
Ikow (Mypoele.com);No;No;France;Ecommerce;444.3;75.9;3516067;645991;7;4;2012
Kumulus Vape;No;No;France;Ecommerce;429.9;74.3;34478879;6506127;53;20;2012
FJ Trading;No;No;Germany;Ecommerce;417.3;73.0;42075676;8132978;26;20;2013
e-Pol;No;No;Italy;Ecommerce;396.3;70.6;30362735;6118064;13;7;2012
Espresso Coffee Shop;No;No;Italy;Ecommerce;371.1;67.6;6654815;1412665;5;1;2012
Fruugo.Com;Yes;Yes;UK;Ecommerce;361.2;66.5;36551320;7420112;150;45;2008
MSG Beauty;Yes;No;Germany;Ecommerce;354.8;65.7;3825000;841000;9;8;2011
Sparklers Club;No;No;France;Ecommerce;351.9;65.3;2342400;518400;10;2;2015
HD casa;No;No;Italy;Ecommerce;350.1;65.1;1932347;429324;3;1;2018
IBO;No;No;Germany;Ecommerce;346.9;64.7;1810021;405060;7;3;2017
kustom-kult.de;Yes;No;Germany;Ecommerce;340.6;63.9;6747645;1531497;19;4;2017
Poelediscount.com;No;No;France;Ecommerce;333.2;63.0;2269422;523849;5;2;2010
Tikamoon;Yes;No;France;Ecommerce;327.6;62.3;77342498;18087160;135;40;2006
Drop;No;No;Italy;Ecommerce;322.2;61.6;24001286;5684754;31;20;2000
Beliani;No;No;Switzerland;Ecommerce;318.7;61.2;120245101;28719442;575;293;2009
Currentbody;Yes;No;UK;Ecommerce;313.3;60.5;46445487;10520070;87;33;2009
50 Factory;No;No;France;Ecommerce;310.9;60.2;20056158;4880472;71;20;2010
For Me Lab;Yes;No;France;Ecommerce;303.8;59.2;2289933;567080;12;3;2016
Letterbox24.de;No;No;Germany;Ecommerce;301.3;58.9;2495520;621844;7;3;2016
Fenyx Italia;No;No;Italy;Ecommerce;298.4;58.5;4409866;1106884;7;2;2015
Brandon Group;Yes;Yes;Italy;Ecommerce;290.8;57.5;36843342;9428761;49;24;2012
zahnriemen24;No;No;Germany;Ecommerce;286.0;56.9;3493466;904935;19;12;2009
MySecretCase;No;No;Italy;Ecommerce;268.4;54.4;7551318;2049962;11;7;2013
Aleas Cosmetic;No;No;Italy;Ecommerce;261.9;53.5;1681182;464597;5;2;2009
50NRTH;Yes;No;Germany;Ecommerce;260.3;53.3;48694869;13513404;67;20;2004
JK-Concepts.de;No;No;Germany;Ecommerce;257.1;52.9;11696042;3275241;1;1;2011
Memory PC;Yes;Yes;Germany;Ecommerce;254.0;52.4;73436507;20742258;110;35;2012
Marsapet;Yes;No;Germany;Ecommerce;249.9;51.8;5049000;1443000;41;12;2015
Sportstech;Yes;Yes;Germany;Ecommerce;248.3;51.6;125353666;35988618;279;137;2012
Certideal;No;No;France;Ecommerce;233.3;49.4;40000000;12000000;45;10;2015
Farmaè;No;No;Italy;Ecommerce;232.8;49.3;82481158;24785924;206;37;2014
Belong;No;No;France;Ecommerce;231.1;49.0;14900000;4500000;25;12;2012
Doofinder;Yes;No;Spain;Ecommerce;229.2;48.8;9295499;2823925;107;32;2012
batterium;No;No;Germany;Ecommerce;228.2;48.6;40884000;12456000;80;45;2010
Etracom;Yes;Yes;Italy;Ecommerce;228.1;48.6;18216483;5551560;9;5;2010
Ogrodosfera.pl;Yes;Yes;Poland;Ecommerce;222.0;47.7;17823148;5917600;28;15;2011
